product_name,price,sku,stock_availability,categories,tags,short_description,product_url,listing_page_number
Nidorino,£ 179.00,9646,279 in stock,Poison Pin | Pokemon,nidorino | Poison Pin | Poison Point,"Nidorino has a horn that is harder than a diamond. If it senses a hostile presence, all the barbs on its back bristle up at once, and it challenges the foe with all its might.",https://scrapeme.live/shop/Nidorino/,2
Pidgeot,£ 185.00,8462,90 in stock,Bird | Pokemon,Bird | Keen Eye | pidgeot,"This Pokémon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose Pidgeot as their Pokémon.",https://scrapeme.live/shop/Pidgeot/,2
Pidgeotto,£ 84.00,1150,120 in stock,Bird | Pokemon,Bird | Keen Eye | pidgeotto,"Pidgeotto claims a large area as its own territory. This Pokémon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.",https://scrapeme.live/shop/Pidgeotto/,2
Pikachu,£ 37.00,1333,254 in stock,Mouse | Pokemon,Mouse | pikachu | Static,This Pokémon has electricity-storing pouches on its cheeks. These appear to become electrically charged during the night while Pikachu sleeps. It occasionally discharges electricity when it is dozy after waking up.,https://scrapeme.live/shop/Pikachu/,2
Raichu,£ 140.00,3488,215 in stock,Mouse | Pokemon,Mouse | raichu | Static,This Pokémon exudes a weak electrical charge from all over its body that makes it take on a slight glow in darkness. Raichu plants its tail in the ground to discharge electricity.,https://scrapeme.live/shop/Raichu/,2
Raticate,£ 60.00,5745,204 in stock,Mouse | Pokemon,Mouse | raticate | Run Away,"Raticate’s sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses.",https://scrapeme.live/shop/Raticate/,2
Rattata,£ 128.00,1009,16 in stock,Mouse | Pokemon,Mouse | rattata | Run Away,"Rattata is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives—it will make its nest anywhere.",https://scrapeme.live/shop/Rattata/,2
Sandshrew,£ 82.00,9134,100 in stock,Mouse | Pokemon,Mouse | Sand Veil | sandshrew,"Sandshrew has a very dry hide that is extremely tough. The Pokémon can roll into a ball that repels any attack. At night, it burrows into the desert sand to sleep.",https://scrapeme.live/shop/Sandshrew/,2
Sandslash,£ 155.00,4747,236 in stock,Mouse | Pokemon,Mouse | Sand Veil | sandslash,"Sandslash can roll up its body as if it were a ball covered with large spikes. In battle, this Pokémon will try to make the foe flinch by jabbing it with its spines. It then leaps at the stunned foe to tear wildly with its sharp claws.",https://scrapeme.live/shop/Sandslash/,2
Spearow,£ 133.00,1591,46 in stock,Pokemon | Tiny Bird,Keen Eye | spearow | Tiny Bird,"Spearow has a very loud cry that can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger.",https://scrapeme.live/shop/Spearow/,2
Clefable,£ 188.00,9786,23 in stock,Fairy | Pokemon,clefable | Cute Charm | Fairy,"Clefable moves by skipping lightly as if it were flying using its wings. Its bouncy step lets it even walk on water. It is known to take strolls on lakes on quiet, moonlit nights.",https://scrapeme.live/shop/Clefable/,3
Clefairy,£ 160.00,3259,86 in stock,Fairy | Pokemon,clefairy | Cute Charm | Fairy,"On every night of a full moon, groups of this Pokémon come out to play. When dawn arrives, the tired Clefairy return to their quiet mountain retreats and go to sleep nestled up against each other.",https://scrapeme.live/shop/Clefairy/,3
Diglett,£ 122.00,4383,227 in stock,Mole | Pokemon,diglett | Mole | Sand Veil,"Diglett are raised in most farms. The reason is simple— wherever this Pokémon burrows, the soil is left perfectly tilled for planting crops. This soil is made ideal for growing delicious vegetables.",https://scrapeme.live/shop/Diglett/,3
Gloom,£ 178.00,7374,74 in stock,Pokemon | Weed,Chlorophyll | gloom | Weed,"From its mouth Gloom drips honey that smells absolutely horrible. Apparently, it loves the horrid stench. It sniffs the noxious fumes and then drools even more of its honey.",https://scrapeme.live/shop/Gloom/,3
Golbat,£ 136.00,5941,52 in stock,Bat | Pokemon,Bat | golbat | Inner Focus,"Golbat bites down on prey with its four fangs and drinks the victim’s blood. It becomes active on inky dark moonless nights, flying around to attack people and Pokémon.",https://scrapeme.live/shop/Golbat/,3
Jigglypuff,£ 61.00,9180,136 in stock,Balloon | Pokemon,Balloon | Cute Charm | jigglypuff,"When this Pokémon sings, it never pauses to breathe. If it is in a battle against an opponent that does not easily fall asleep, Jigglypuff cannot breathe, endangering its life.",https://scrapeme.live/shop/Jigglypuff/,3
Ninetales,£ 52.00,5173,215 in stock,Fox | Pokemon,Flash Fire | Fox | ninetales,Legend has it that Ninetales came into being when nine wizards possessing sacred powers merged into one. This Pokémon is highly intelligent—it can understand human speech.,https://scrapeme.live/shop/Ninetales/,3
Oddish,£ 45.00,8337,296 in stock,Pokemon | Weed,Chlorophyll | oddish | Weed,"Oddish searches for fertile, nutrient-rich soil, then plants itself. During the daytime, while it is planted, this Pokémon’s feet are thought to change shape and become similar to the roots of trees.",https://scrapeme.live/shop/Oddish/,3
Paras,£ 168.00,9691,192 in stock,Mushroom | Pokemon,Effect Spore | Mushroom | paras,Paras has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from this Bug Pokémon host. They are highly valued as a medicine for extending life.,https://scrapeme.live/shop/Paras/,3
Parasect,£ 27.00,4612,17 in stock,Mushroom | Pokemon,Effect Spore | Mushroom | parasect,"Parasect is known to infest large trees en masse and drain nutrients from the lower trunk and roots. When an infested tree dies, they move onto another tree all at once.",https://scrapeme.live/shop/Parasect/,3
Venomoth,£ 53.00,3503,22 in stock,Poison Moth | Pokemon,Poison Moth | Shield Dust | venomoth,"Venomoth is nocturnal—it is a Pokémon that only becomes active at night. Its favorite prey are small insects that gather around streetlights, attracted by the light in the darkness.",https://scrapeme.live/shop/Venomoth/,3
Venonat,£ 158.00,1329,177 in stock,Insect | Pokemon,Compound Eyes | Insect | venonat,"Venonat is said to have evolved with a coat of thin, stiff hair that covers its entire body for protection. It possesses large eyes that never fail to spot even minuscule prey.",https://scrapeme.live/shop/Venonat/,3
Vileplume,£ 170.00,5295,283 in stock,Flower | Pokemon,Chlorophyll | Flower | vileplume,"Vileplume has the world’s largest petals. They are used to attract prey that are then doused with toxic spores. Once the prey are immobilized, this Pokémon catches and devours them.",https://scrapeme.live/shop/Vileplume/,3
Vulpix,£ 85.00,1440,268 in stock,Fox | Pokemon,Flash Fire | Fox | vulpix,"Inside Vulpix’s body burns a flame that never goes out. During the daytime, when the temperatures rise, this Pokémon releases flames from its mouth to prevent its body from growing too hot.",https://scrapeme.live/shop/Vulpix/,3
Wigglytuff,£ 130.00,2733,260 in stock,Balloon | Pokemon,Balloon | Cute Charm | wigglytuff,"Wigglytuff’s body is very flexible. By inhaling deeply, this Pokémon can inflate itself seemingly without end. Once inflated, Wigglytuff bounces along lightly like a balloon.",https://scrapeme.live/shop/Wigglytuff/,3
Zubat,£ 125.00,2584,154 in stock,Bat | Pokemon,Bat | Inner Focus | zubat,"Zubat avoids sunlight because exposure causes it to become unhealthy. During the daytime, it stays in caves or under the eaves of old houses, sleeping while hanging upside down.",https://scrapeme.live/shop/Zubat/,3
Abra,£ 141.00,3845,116 in stock,Pokemon | Psi,abra | Inner Focus | Psi,"Abra needs to sleep for eighteen hours a day. If it doesn’t, this Pokémon loses its ability to use telekinetic powers. If it is attacked, Abra escapes using Teleport while it is still sleeping.",https://scrapeme.live/shop/Abra/,4
Alakazam,£ 40.00,7975,142 in stock,Pokemon | Psi,alakazam | Inner Focus | Psi,"Alakazam’s brain continually grows, infinitely multiplying brain cells. This amazing brain gives this Pokémon an astoundingly high IQ of 5,000. It has a thorough memory of everything that has occurred in the world.",https://scrapeme.live/shop/Alakazam/,4
Arcanine,£ 69.00,9267,14 in stock,Legendary | Pokemon,arcanine | Intimidate | Legendary,"Arcanine is known for its high speed. It is said to be capable of running over 6,200 miles in a single day and night. The fire that blazes wildly within this Pokémon’s body is its source of power.",https://scrapeme.live/shop/Arcanine/,4
Dugtrio,£ 111.00,7897,290 in stock,Mole | Pokemon,dugtrio | Mole | Sand Veil,"Dugtrio are actually triplets that emerged from one body. As a result, each triplet thinks exactly like the other two triplets. They work cooperatively to burrow endlessly.",https://scrapeme.live/shop/Dugtrio/,4
Golduck,£ 31.00,8764,278 in stock,Duck | Pokemon,Damp | Duck | golduck,"Golduck is the fastest swimmer among all Pokémon. It swims effortlessly, even in a rough, stormy sea. It sometimes rescues people from wrecked ships floundering in high seas.",https://scrapeme.live/shop/Golduck/,4
Growlithe,£ 30.00,1749,243 in stock,Pokemon | Puppy,growlithe | Intimidate | Puppy,"Growlithe has a superb sense of smell. Once it smells anything, this Pokémon won’t forget the scent, no matter what. It uses its advanced olfactory sense to determine the emotions of other living things.",https://scrapeme.live/shop/Growlithe/,4
Kadabra,£ 129.00,9040,195 in stock,Pokemon | Psi,Inner Focus | kadabra | Psi,"Kadabra holds a silver spoon in its hand. The spoon is used to amplify the alpha waves in its brain. Without the spoon, the Pokémon is said to be limited to half the usual amount of its telekinetic powers.",https://scrapeme.live/shop/Kadabra/,4
Machop,£ 166.00,9506,173 in stock,Pokemon | Superpower,Guts | machop | Superpower,Machop exercises by hefting around a Graveler as if it were a barbell. There are some Machop that travel the world in a quest to master all kinds of martial arts.,https://scrapeme.live/shop/Machop/,4
Mankey,£ 125.00,5180,209 in stock,Pig Monkey | Pokemon,mankey | Pig Monkey | Vital Spirit,"When Mankey starts shaking and its nasal breathing turns rough, it’s a sure sign that it is becoming angry. However, because it goes into a towering rage almost instantly, it is impossible for anyone to flee its wrath.",https://scrapeme.live/shop/Mankey/,4
Meowth,£ 131.00,9594,203 in stock,Pokemon | Scratch Cat,meowth | Pickup | Scratch Cat,"Meowth withdraws its sharp claws into its paws to slinkily sneak about without making any incriminating footsteps. For some reason, this Pokémon loves shiny coins that glitter with light.",https://scrapeme.live/shop/Meowth/,4
Persian,£ 200.00,3752,108 in stock,Classy Cat | Pokemon,Classy Cat | persian | Technician,Persian has six bold whiskers that give it a look of toughness. The whiskers sense air movements to determine what is in the Pokémon’s surrounding vicinity. It becomes docile if grabbed by the whiskers.,https://scrapeme.live/shop/Persian/,4
Poliwag,£ 174.00,6402,217 in stock,Pokemon | Tadpole,Damp | poliwag | Tadpole,"Poliwag has a very thin skin. It is possible to see the Pokémon’s spiral innards right through the skin. Despite its thinness, however, the skin is also very flexible. Even sharp fangs bounce right off it.",https://scrapeme.live/shop/Poliwag/,4
Poliwhirl,£ 121.00,4447,139 in stock,Pokemon | Tadpole,Damp | poliwhirl | Tadpole,"The surface of Poliwhirl’s body is always wet and slick with a slimy fluid. Because of this slippery covering, it can easily slip and slide out of the clutches of any enemy in battle.",https://scrapeme.live/shop/Poliwhirl/,4
Poliwrath,£ 152.00,1848,216 in stock,Pokemon | Tadpole,Damp | poliwrath | Tadpole,"Poliwrath’s highly developed, brawny muscles never grow fatigued, however much it exercises. It is so tirelessly strong, this Pokémon can swim back and forth across the ocean without effort.",https://scrapeme.live/shop/Poliwrath/,4
Primeape,£ 86.00,3052,68 in stock,Pig Monkey | Pokemon,Pig Monkey | primeape | Vital Spirit,"When Primeape becomes furious, its blood circulation is boosted. In turn, its muscles are made even stronger. However, it also becomes much less intelligent at the same time.",https://scrapeme.live/shop/Primeape/,4
Psyduck,£ 182.00,6470,214 in stock,Duck | Pokemon,Damp | Duck | psyduck,"If it uses its mysterious power, Psyduck can’t remember having done so. It apparently can’t form a memory of such an event because it goes into an altered state that is much like deep sleep.",https://scrapeme.live/shop/Psyduck/,4
Bellsprout,£ 74.00,7454,257 in stock,Flower | Pokemon,bellsprout | Chlorophyll | Flower,"Bellsprout’s thin and flexible body lets it bend and sway to avoid any attack, however strong it may be. From its mouth, this Pokémon spits a corrosive fluid that melts even iron.",https://scrapeme.live/shop/Bellsprout/,5
Geodude,£ 32.00,1650,77 in stock,Pokemon | Rock,geodude | Rock | Rock Head,"When Geodude sleeps deeply, it buries itself halfway into the ground. It will not awaken even if hikers step on it unwittingly. In the morning, this Pokémon rolls downhill in search of food.",https://scrapeme.live/shop/Geodude/,5
Golem,£ 103.00,1408,151 in stock,Megaton | Pokemon,golem | Megaton | Rock Head,"Golem is known for rolling down from mountains. To prevent them from rolling into the homes of people downhill, grooves have been dug into the sides of mountains to serve as guideways for diverting this Pokémon’s course.",https://scrapeme.live/shop/Golem/,5
Graveler,£ 182.00,4748,86 in stock,Pokemon | Rock,graveler | Rock | Rock Head,"Rocks are Graveler’s favorite food. This Pokémon will climb a mountain from the base to the summit, crunchingly feasting on rocks all the while. Upon reaching the peak, it rolls back down to the bottom.",https://scrapeme.live/shop/Graveler/,5
Machamp,£ 121.00,2857,242 in stock,Pokemon | Superpower,Guts | machamp | Superpower,"Machamp is known as the Pokémon that has mastered every kind of martial arts. If it grabs hold of the foe with its four arms, the battle is all but over. The hapless foe is thrown far over the horizon.",https://scrapeme.live/shop/Machamp/,5
Machoke,£ 27.00,9503,10 in stock,Pokemon | Superpower,Guts | machoke | Superpower,"Machoke undertakes bodybuilding every day even as it helps people with tough, physically demanding labor. On its days off, this Pokémon heads to the fields and mountains to exercise and train.",https://scrapeme.live/shop/Machoke/,5
Magnemite,£ 100.00,1688,16 in stock,Magnet | Pokemon,magnemite | Magnet | Sturdy,Magnemite floats in the air by emitting electromagnetic waves from the units at its sides. These waves block gravity. This Pokémon becomes incapable of flight if its internal electrical supply is depleted.,https://scrapeme.live/shop/Magnemite/,5
Magneton,£ 191.00,5934,152 in stock,Magnet | Pokemon,Magnet | magneton | Sturdy,"Magneton emits a powerful magnetic force that is fatal to electronics and precision instruments. Because of this, it is said that some towns warn people to keep this Pokémon inside a Poké Ball.",https://scrapeme.live/shop/Magneton/,5
Ponyta,£ 53.00,3629,41 in stock,Fire Horse | Pokemon,Fire Horse | ponyta | Run Away,Ponyta is very weak at birth. It can barely stand up. This Pokémon becomes stronger by stumbling and falling to keep up with its parent.,https://scrapeme.live/shop/Ponyta/,5
Rapidash,£ 98.00,3414,194 in stock,Fire Horse | Pokemon,Fire Horse | rapidash | Run Away,"Rapidash usually can be seen casually cantering in the fields and plains. However, when this Pokémon turns serious, its fiery manes flare and blaze as it gallops its way up to 150 mph.",https://scrapeme.live/shop/Rapidash/,5
Slowbro,£ 179.00,3864,289 in stock,Hermit Crab | Pokemon,Hermit Crab | Oblivious | slowbro,"Slowbro’s tail has a Shellder firmly attached with a bite. As a result, the tail can’t be used for fishing anymore. This causes Slowbro to grudgingly swim and catch prey instead.",https://scrapeme.live/shop/Slowbro/,5
Slowpoke,£ 109.00,2145,57 in stock,Dopey | Pokemon,Dopey | Oblivious | slowpoke,"Slowpoke uses its tail to catch prey by dipping it in water at the side of a river. However, this Pokémon often forgets what it’s doing and often spends entire days just loafing at water’s edge.",https://scrapeme.live/shop/Slowpoke/,5
Tentacool,£ 186.00,1506,66 in stock,Jellyfish | Pokemon,Clear Body | Jellyfish | tentacool,Tentacool absorbs sunlight and refracts it using water inside its body to convert it into beam energy. This Pokémon shoots beams from the small round organ above its eyes.,https://scrapeme.live/shop/Tentacool/,5
Tentacruel,£ 65.00,1723,175 in stock,Jellyfish | Pokemon,Clear Body | Jellyfish | tentacruel,Tentacruel has tentacles that can be freely elongated and shortened at will. It ensnares prey with its tentacles and weakens the prey by dosing it with a harsh toxin. It can catch up to 80 prey at the same time.,https://scrapeme.live/shop/Tentacruel/,5
Victreebel,£ 68.00,2187,119 in stock,Flycatcher | Pokemon,Chlorophyll | Flycatcher | victreebel,"Victreebel has a long vine that extends from its head. This vine is waved and flicked about as if it were an animal to attract prey. When an unsuspecting prey draws near, this Pokémon swallows it whole.",https://scrapeme.live/shop/Victreebel/,5
Weepinbell,£ 26.00,5253,46 in stock,Flycatcher | Pokemon,Chlorophyll | Flycatcher | weepinbell,"Weepinbell has a large hook on its rear end. At night, the Pokémon hooks on to a tree branch and goes to sleep. If it moves around in its sleep, it may wake up to find itself on the ground.",https://scrapeme.live/shop/Weepinbell/,5
Cloyster,£ 199.00,5736,39 in stock,Bivalve | Pokemon,Bivalve | cloyster | Shell Armor,"Cloyster is capable of swimming in the sea. It does so by swallowing water, then jetting it out toward the rear. This Pokémon shoots spikes from its shell using the same system.",https://scrapeme.live/shop/Cloyster/,6
Dewgong,£ 70.00,9375,62 in stock,Pokemon | Sea Lion,dewgong | Sea Lion | Thick Fat,Dewgong loves to snooze on bitterly cold ice. The sight of this Pokémon sleeping on a glacier was mistakenly thought to be a mermaid by a mariner long ago.,https://scrapeme.live/shop/Dewgong/,6
Dodrio,£ 138.00,4038,118 in stock,Pokemon | Triple Bird,dodrio | Run Away | Triple Bird,"Apparently, the heads aren’t the only parts of the body that Dodrio has three of. It has three sets of hearts and lungs as well, so it is capable of running long distances without rest.",https://scrapeme.live/shop/Dodrio/,6
Doduo,£ 73.00,8303,227 in stock,Pokemon | Twin Bird,doduo | Run Away | Twin Bird,"Doduo’s two heads contain completely identical brains. A scientific study reported that on rare occasions, there will be examples of this Pokémon possessing different sets of brains.",https://scrapeme.live/shop/Doduo/,6
Drowzee,£ 40.00,9437,253 in stock,Hypnosis | Pokemon,drowzee | Hypnosis | Insomnia,"If your nose becomes itchy while you are sleeping, it’s a sure sign that one of these Pokémon is standing above your pillow and trying to eat your dream through your nostrils.",https://scrapeme.live/shop/Drowzee/,6
Farfetchd,£ 185.00,3808,158 in stock,Pokemon | Wild Duck,farfetchd | Keen Eye | Wild Duck,"Farfetch’d is always seen with a stalk from a plant of some sort. Apparently, there are good stalks and bad stalks. This Pokémon has been known to fight with others over stalks.",https://scrapeme.live/shop/Farfetchd/,6
Gastly,£ 179.00,6873,151 in stock,Gas | Pokemon,Gas | gastly | Levitate,"Gastly is largely composed of gaseous matter. When exposed to a strong wind, the gaseous body quickly dwindles away. Groups of this Pokémon cluster under the eaves of houses to escape the ravages of wind.",https://scrapeme.live/shop/Gastly/,6
Gengar,£ 149.00,6267,159 in stock,Pokemon | Shadow,gengar | Levitate | Shadow,"Sometimes, on a dark night, your shadow thrown by a streetlight will suddenly and startlingly overtake you. It is actually a Gengar running past you, pretending to be your shadow.",https://scrapeme.live/shop/Gengar/,6
Grimer,£ 147.00,3031,201 in stock,Pokemon | Sludge,grimer | Sludge | Stench,Grimer emerged from the sludge that settled on a polluted seabed. This Pokémon loves anything filthy. It constantly leaks a horribly germ-infested fluid from all over its body.,https://scrapeme.live/shop/Grimer/,6
Haunter,£ 42.00,7532,181 in stock,Gas | Pokemon,Gas | haunter | Levitate,"Haunter is a dangerous Pokémon. If one beckons you while floating in darkness, you must never approach it. This Pokémon will try to lick you with its tongue and steal your life away.",https://scrapeme.live/shop/Haunter/,6
Hypno,£ 198.00,2634,222 in stock,Hypnosis | Pokemon,hypno | Hypnosis | Insomnia,"Hypno holds a pendulum in its hand. The arcing movement and glitter of the pendulum lull the foe into a deep state of hypnosis. While this Pokémon searches for prey, it polishes the pendulum.",https://scrapeme.live/shop/Hypno/,6
Krabby,£ 64.00,2333,147 in stock,Pokemon | River Crab,krabby | River Crab | Shell Armor,"Krabby live on beaches, burrowed inside holes dug into the sand. On sandy beaches with little in the way of food, these Pokémon can be seen squabbling with each other over territory.",https://scrapeme.live/shop/Krabby/,6
Muk,£ 187.00,9514,220 in stock,Pokemon | Sludge,muk | Sludge | Stench,"This Pokémon’s favorite food is anything that is repugnantly filthy. In dirty towns where people think nothing of throwing away litter on the streets, Muk are certain to gather.",https://scrapeme.live/shop/Muk/,6
Onix,£ 37.00,2221,286 in stock,Pokemon | Rock Snake,onix | Rock Head | Rock Snake,"Onix has a magnet in its brain. It acts as a compass so that this Pokémon does not lose direction while it is tunneling. As it grows older, its body becomes increasingly rounder and smoother.",https://scrapeme.live/shop/Onix/,6
Seel,£ 164.00,2302,250 in stock,Pokemon | Sea Lion,Sea Lion | seel | Thick Fat,"Seel hunts for prey in the frigid sea underneath sheets of ice. When it needs to breathe, it punches a hole through the ice with the sharply protruding section of its head.",https://scrapeme.live/shop/Seel/,6
Shellder,£ 138.00,4653,23 in stock,Bivalve | Pokemon,Bivalve | Shell Armor | shellder,"At night, this Pokémon uses its broad tongue to burrow a hole in the seafloor sand and then sleep in it. While it is sleeping, Shellder closes its shell, but leaves its tongue hanging out.",https://scrapeme.live/shop/Shellder/,6
Chansey,£ 176.00,8548,151 in stock,Egg | Pokemon,chansey | Egg | Natural Cure,"Chansey lays nutritionally excellent eggs on an everyday basis. The eggs are so delicious, they are easily and eagerly devoured by even those people who have lost their appetite.",https://scrapeme.live/shop/Chansey/,7
Cubone,£ 177.00,3170,242 in stock,Lonely | Pokemon,cubone | Lonely | Rock Head,"Cubone pines for the mother it will never see again. Seeing a likeness of its mother in the full moon, it cries. The stains on the skull the Pokémon wears are made by the tears it sheds.",https://scrapeme.live/shop/Cubone/,7
Electrode,£ 100.00,1042,230 in stock,Ball | Pokemon,Ball | electrode | Static,One of Electrode’s characteristics is its attraction to electricity. It is a problematical Pokémon that congregates mostly at electrical power plants to feed on electricity that has just been generated.,https://scrapeme.live/shop/Electrode/,7
Exeggcute,£ 126.00,2494,144 in stock,Egg | Pokemon,Chlorophyll | Egg | exeggcute,"This Pokémon consists of six eggs that form a closely knit cluster. The six eggs attract each other and spin around. When cracks increasingly appear on the eggs, Exeggcute is close to evolution.",https://scrapeme.live/shop/Exeggcute/,7
Exeggutor,£ 68.00,8250,292 in stock,Coconut | Pokemon,Chlorophyll | Coconut | exeggutor,"Exeggutor originally came from the tropics. Its heads steadily grow larger from exposure to strong sunlight. It is said that when the heads fall off, they group together to form Exeggcute.",https://scrapeme.live/shop/Exeggutor/,7
